ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
C_Kon,C_Kon,,,,kond1299,,C,West-Congo Basin,C64,C-Kon,Konda,0,-1.4,19
C_Nt4,C_Nt4,,,,ntom1249,,C,West-Congo Basin,C65a,C-Nt4,Ntomba-I,2,-1.9,18.3
C_Ml2,C_Ml2,,-0.57181,24.0443,mbol1247,,C,West-Congo Basin,C68a,C-Ml2,Mbole-K,0,-0.1,24.5
C_Omb,C_Omb,,-2.32162,25.1748,ombo1238,,C,West-Congo Basin,C69,C-Omb,Ombo,0,-2.2,25.8
C_Tet,C_Tet,,-4.29314,24.546,tete1250,,C,West-Congo Basin,C71,C-Tet,Tetela,0,-5,25
C_Yyo,C_Yyo,,,,,,C,West-Congo Basin,C71a,C-Yyo,Yyondo,0,-4.6,24.2
C_Ku2,C_Ku2,,-3.61459,25.2923,kusu1252,,C,West-Congo Basin,C72a,C-Ku2,Kushu,0,-4,25.1
C_Kla,C_Kla,,-1.39085,24.0051,kela1254,,C,West-Congo Basin,C75,C-Kla,Kela,4,-2.5,23.2
C_Ile,C_Ile,,,,,,C,West-Congo Basin,C80,C-Ile,Ilebo,6,-4.3,20.6
C_Mbi,C_Mbi,,-4.69463,21.4556,bush1247,,C,West-Congo Basin,C80,C-Mbi,Mbingi,6,-4.05,22.2
C_Shu,C_Shu,,,,pian1241,,C,West-Congo Basin,C80,C-Shu,Shuwa,4,-4.1,22.2
C_Nde,C_Nde,,-3.26337,21.4194,deng1250,,C,West-Congo Basin,C81,C-Nde,Ndengese,6,-3.5,21.4
C_Won,C_Won,,-5.73837,20.5054,wong1247,,C,West-Congo Basin,C83,C-Won,Wongo,0,-4.9,19.9
C_Lu1,C_Lu1,,,,,,C,West-Congo Basin,C83a,C-Lu1,Luhilel,0,-4.35,20.2
C_Lor,C_Lor,,,,,,C,West-Congo Basin,C83B,C-Lor,Lori,2,-4.2,19.1
C_Cwa,C_Cwa,,,,,,C,West-Congo Basin,C90,C-Cwa,Cwao,6,-5,22
D_Kwa,D_Kwa,,,,kwan1271,,D,Boan-Lebonya,D00,D-Kwa,Kwange,0,-3.9,25.9
D_Lil,D_Lil,,,,lili1250,,D,Boan-Lebonya,D00,D-Lil,Liliko,0,2.2,27.3
D_Lum,D_Lum,,,,,,D,Boan-Lebonya,D00,D-Lum,Lumbwe,6,-6.5,28.2
D_Nge,D_Nge,,,,,,D,Boan-Lebonya,D00,D-Nge,Ngengele,1,-2.8,25.3
D_Son,D_Son,,-5.71993,25.2765,song1303,,D,Boan-Lebonya,D00,D-Son,Songe,0,-4.5,26.3
D_Zur,D_Zur,,,,,,D,Boan-Lebonya,D00,D-Zur,Zura,0,-4.5,26.6
D_La2,D_La2,,,,,,D,Boan-Lebonya,D00a,D-La2,Langa,0,-3.3,24.7
D_Len,D_Len,,-1.95874,25.3343,leng1258,,D,Boan-Lebonya,D12,D-Len,Lengola,0,-0.5,25.5
D_Mit,D_Mit,,-1.57031,25.104,mitu1240,,D,East-Central,D13,D-Mit,Mituku,18,-0.2,24.8
